rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt
1,1,0,OLD,20180939,남산의 부장들,2020-01-22,945095180,44.0,-355976620,-27.4,32547144270,118080,-93877,-44.3,3743582,1383,7262,20200130
2,2,0,OLD,20192101,히트맨,2020-01-22,602166980,28.1,-228841510,-27.5,15390499240,74508,-62668,-45.7,1789019,1027,4745,20200130
3,3,0,OLD,20188421,미스터 주: 사라진 VIP,2020-01-22,92604980,4.3,-56547680,-37.9,4580917060,12298,-12283,-50,543714,596,1570,20200130
4,4,0,OLD,20192300,스파이 지니어스 ,2020-01-22,88064900,4.1,-37017120,-29.6,3075484300,11730,-8596,-42.3,374662,574,1169,20200130
5,5,0,OLD,20100312,인셉션,2010-07-21,67568700,3.1,-21178300,-23.9,43645889200,8346,-6634,-44.3,5859100,204,605,20200130
6,6,0,OLD,20183002,해치지않아,2020-01-15,47241640,2.2,-34285520,-42.1,10043037830,6106,-7222,-54.2,1195437,471,895,20200130
7,7,0,OLD,20198676,타오르는 여인의 초상,2020-01-16,35329360,1.6,-7492020,-17.5,791441040,4480,-2579,-36.5,95398,142,275,20200130
8,8,13,OLD,20193321,정직한 후보,2020-02-12,29833000,1.4,25136000,535.2,72029000,3943,3420,653.9,10143,21,22,20200130
9,9,0,OLD,20196670,나쁜 녀석들: 포에버,2020-01-15,18913800,0.9,-8837500,-31.8,4763880300,2765,-1533,-35.7,531929,204,297,20200130
10,10,0,NEW,20193836,핑크퐁 시네마 콘서트 : 우주대탐험,2020-01-30,20010500,0.9,20010500,100,36416500,2693,2693,100,5235,176,341,20200130
1,1,0,OLD,20180939,남산의 부장들,2020-01-22,1301071800,46.2,-207464110,-13.8,31602049090,211957,24466,13,3625502,1462,7520,20200129
2,2,0,OLD,20192101,히트맨,2020-01-22,831008490,29.5,-3141870,-0.4,14788332260,137176,34592,33.7,1714511,1065,4836,20200129
3,3,0,OLD,20188421,미스터 주: 사라진 VIP,2020-01-22,149152660,5.3,-42189890,-22,4488312080,24581,591,2.5,531416,636,1804,20200129
4,4,0,OLD,20192300,스파이 지니어스 ,2020-01-22,125082020,4.4,-29110360,-18.9,2987419400,20326,389,2,362932,627,1313,20200129
5,5,14,OLD,20100312,인셉션,2010-07-21,88747000,3.2,82394500,1297,43578320500,14980,14398,2473.9,5850754,216,603,20200129
6,6,-1,OLD,20183002,해치지않아,2020-01-15,81527160,2.9,-1971910,-2.4,9995796190,13328,2580,24,1189331,518,1053,20200129
