"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"부산광역시 재난현장관리단",부산광역시 해운대구 해운대해변로 84,부산광역시 해운대구 우동 1393,재난재해,1,200,100m이내,30,2017-12,051-888-3072,35.160915,129.1405557,2019-10-31
"부산광역시 재난현장관리단",부산광역시 해운대구 청사포로128번길 18(중동),부산광역시 해운대구 중동 591-9,재난재해,1,200,100m이내,30,2016-11,051-888-3072,35.16066488,129.1915227,2019-10-31
"부산광역시 재난현장관리단",부산광역시 해운대구 청사포로128번길 18(중동),부산광역시 해운대구 중동 591-9,재난재해,1,200,100m이내,30,2016-11,051-888-3072,35.16066488,129.1915227,2019-10-31
"부산광역시 재난현장관리단",부산광역시 해운대구 청사포로128번길 18(중동),부산광역시 해운대구 중동 591-11,재난재해,1,200,100m이내,30,2017-12,051-888-3072,35.16066488,129.1915227,2019-10-31
"부산광역시 재난현장관리단",부산광역시 해운대구 청사포로128번길 18(중동),부산광역시 해운대구 중동 591-17,재난재해,1,200,100m이내,30,2017-12,051-888-3072,35.16066488,129.1915227,2019-10-31
"부산광역시 재난현장관리단",부산광역시 해운대구 우동2로14번길 6-2(우동),부산광역시 해운대구 우동 1447,재난재해,1,200,100m이내,30,2017-12,051-888-3072,35.1660598,129.1610987,2019-10-31
"부산광역시 재난현장관리단",,부산광역시 해운대구 반여동 산4-20,재난재해,1,200,100m이내,30,2015-12,051-888-3072,35.235020,129.089000,2019-10-31
"부산광역시 재난현장관리단",부산광역시 중구 중구로 120,부산광역시 중구 대청동1가 1-4,재난재해,1,200,100m이내,30,2017-12,051-888-3072,35.10622698,129.0323731,2019-10-31
"부산광역시 재난현장관리단",부산광역시 영도구 해양로 259(동삼동),부산광역시 영도구 동삼동 175-2 하수처리장 옥상,재난재해,1,200,100m이내,30,2017-12,051-888-3072,35.08505207,129.077924,2019-10-31
"부산광역시 재난현장관리단",부산광역시 영도구 태종로 423,부산광역시 영도구 청학동 48-3,재난재해,1,200,100m이내,30,2017-12,051-888-3072,35.0912179,129.0679102,2019-10-31
"부산광역시 재난현장관리단",부산광역시 영도구 절영로 180-1(영선동4가),부산광역시 영도구 영선동4가 186-106,재난재해,1,200,100m이내,30,2017-12,051-888-3072,35.0729558,129.0630068,2019-10-31
"부산광역시 재난현장관리단",부산광역시 영도구 절영로 180-1(영선동4가),부산광역시 영도구 영선동4가 186-106,재난재해,1,200,100m이내,30,2017-12,051-888-3072,35.0729558,129.0630068,2019-10-31
"부산광역시 재난현장관리단",,부산광역시 영도구 동삼동 1-12 해양대학교 안,재난재해,1,200,100m이내,30,2015-12,051-888-3072,35.07963333,129.0958361,2019-10-31
"부산광역시 재난현장관리단",,부산광역시 영도구 청학동 131-2,재난재해,1,200,100m이내,30,2015-12,051-888-3072,35.093233,129.061344,2019-10-31
"부산광역시 재난현장관리단",,부산광역시 영도구 동삼2동 산191-1 공중화장실 옆,재난재해,1,200,100m이내,30,2017-12,051-888-3072,35.250278,129.056000,2019-10-31
"부산광역시 재난현장관리단",부산광역시 영도구 태종로 727,부산광역시 영도구 동삼동 1,재난재해,1,200,100m이내,30,2015-12,051-888-3072,35.07440777,129.0873486,2019-10-31
"부산광역시 재난현장관리단",부산광역시 영도구 해양로 207,부산광역시 영도구 동삼동 201-10,재난재해,1,200,100m이내,30,2015-12,051-888-3072,35.0882968,129.073422,2019-10-31
"부산광역시 재난현장관리단",부산광역시 영도구 해양로 128,부산광역시 영도구 청학동 1-74,재난재해,1,200,100m이내,30,2015-12,051-888-3072,35.093546,129.0674828,2019-10-31
"부산광역시 재난현장관리단",부산광역시 수영구 황령대로481번길 60-3,부산광역시 남구 남천2동 1 남천해변공원 하수펌프장 옆,재난재해,1,200,100m이내,30,2017-12,051-888-3072,35.14044206,129.109575,2019-10-31
"부산광역시 재난현장관리단",부산광역시 수영구 광안해변로54번길 222(남천동),부산광역시 수영구 남천동 148-14,재난재해,1,200,100m이내,30,2016-11,051-888-3072,35.14614518,129.1153264,2019-10-31
"부산광역시 재난현장관리단",부산광역시 수영구 광남로48번길 5(남천동),부산광역시 수영구 남천동 563,재난재해,1,200,100m이내,30,2016-11,051-888-3072,35.1467994,129.1123327,2019-10-31
"부산광역시 재난현장관리단",부산광역시 수영구 광남로48번길 5(남천동),부산광역시 수영구 남천동 563,재난재해,1,200,100m이내,30,2016-11,051-888-3072,35.1467994,129.1123327,2019-10-31
"부산광역시 재난현장관리단",,부산광역시 서구 암남동 626-38 동원냉장 앞 사면지대,재난재해,1,200,100m이내,30,2017-12,051-888-3072,35.066758,129.011300,2019-10-31
"부산광역시 재난현장관리단",부산광역시 서구 암남로94번길 83(암남동),부산광역시 서구 암남동 123-30 어촌회관 옥상,재난재해,1,200,100m이내,30,2017-12,051-888-3072,35.07387612,129.0126283,2019-10-31
"부산광역시 재난현장관리단",부산광역시 서구 암남공원로14번길 35-5(암남동),부산광역시 서구 암남동 696 항만관리소 현장사무실 옥상,재난재해,1,200,100m이내,30,2015-12,051-888-3072,35.07522462,129.0139111,2019-10-31
"부산광역시 재난현장관리단",부산광역시 서구 암남공원로 179-22(암남동),부산광역시 서구 암남동 암남공원 620-27 암남공원 테니스장 인근,재난재해,1,200,100m이내,30,2015-12,051-888-3072,35.06253639,129.020386,2019-10-31
"부산광역시 재난현장관리단",부산광역시 서구 꽃마을로163번길 233-109(서대신동3가),부산광역시 서구 서대신동 3가 산18-7,재난재해,1,200,100m이내,30,2017-12,051-888-3072,35.12234482,128.9998027,2019-10-31
"부산광역시 재난현장관리단",부산광역시 사하구 하신중앙로 236-1(하단동),부산광역시 사하구 하단동 870-312,재난재해,1,200,100m이내,30,2015-12,051-888-3072,35.09970872,128.9615505,2019-10-31
"부산광역시 재난현장관리단",부산광역시 사하구 을숙도대로 466(신평동),부산광역시 사하구 신평2동 659-2 강변사업소 탈수기동 옥상,재난재해,1,200,100m이내,30,2017-12,051-888-3072,35.08334392,128.9565934,2019-10-31
"부산광역시 재난현장관리단",부산광역시 사하구 원양로356번길 6(감천동),부산광역시 사하구 감천동 224 회센터 앞,재난재해,1,200,100m이내,30,2012-08,051-888-3072,35.08222408,129.0065757,2019-10-31
"부산광역시 재난현장관리단",부산광역시 사하구 몰운대1길 52(다대동),부산광역시 사하구 다대동 482 다대임해봉사센터 옥상,재난재해,1,200,100m이내,30,2015-12,051-888-3072,35.0452132,128.9690304,2019-10-31
